Date,Open,High,Low,Settle,Volume,Open Interest
2012-03-12,1372.75,1372.75,1366.0,,904651.0,1375654.0
2012-03-09,1366.25,1374.5,1363.25,,1062312.0,1854247.0
2012-03-08,1352.75,1368.5,1350.5,,1830086.0,2179740.0
2012-03-07,1341.5,1354.25,1341.25,,1888277.0,2624143.0
2012-03-06,1364.0,1365.75,1338.5,,2446910.0,2737111.0
2012-03-05,1367.25,1369.5,1358.0,,1528635.0,2757168.0
2012-03-02,1374.5,1377.0,1365.0,,1458860.0,2785199.0
2012-03-01,1362.25,1375.25,1358.75,,1966089.0,2782610.0
2012-02-29,1371.25,1377.25,1356.75,,2280683.0,2767710.0
2012-02-28,1367.25,1373.75,1364.5,,1540432.0,2736498.0
2012-02-27,1363.25,1370.75,1353.0,,1662699.0,2733319.0
2012-02-24,1363.0,1368.5,1361.5,,1165325.0,2723016.0
2012-02-23,1356.0,1363.75,1350.25,,1593827.0,2715233.0
2012-02-22,1359.75,1364.0,1353.0,,1439240.0,2709926.0
2012-02-21,1366.0,1367.75,1355.75,,1582147.0,2723429.0
2012-02-20,1366.75,1369.5,1362.25,,190288.0,2711174.0
2012-02-17,1354.75,1361.25,1353.0,,1247605.0,2711174.0
2012-02-16,1341.75,1357.25,1334.25,,1959657.0,2693762.0
2012-02-15,1347.5,1358.0,1338.0,,2275907.0,2688692.0
2012-02-14,1349.25,1352.0,1337.75,,1735366.0,2684468.0
2012-02-13,1347.25,1352.25,1342.75,,1234654.0,2652514.0
2012-02-10,1348.0,1348.25,1333.75,,1713453.0,2694896.0
2012-02-09,1347.0,1352.75,1340.75,,1750116.0,2681372.0
2012-02-08,1344.25,1348.25,1338.25,,1540962.0,2663724.0
2012-02-07,1339.0,1345.75,1331.75,,1498761.0,2660225.0
2012-02-06,1336.5,1340.5,1330.25,,1191584.0,2662818.0
2012-02-03,1322.75,1342.0,1320.0,,1704222.0,2669758.0
2012-02-02,1320.25,1326.0,1317.0,,1352211.0,2649993.0
2012-02-01,1307.75,1327.0,1303.75,,1904532.0,2680101.0
2012-01-31,1309.0,1317.5,1302.25,,1891559.0,2672094.0
2012-01-30,1314.0,1314.5,1296.0,,1710571.0,2641729.0
2012-01-27,1314.75,1319.25,1307.0,,1730421.0,2630855.0
2012-01-26,1320.75,1329.75,1309.25,,2001696.0,2700924.0
2012-01-25,1311.25,1324.75,1303.0,,1968562.0,2687268.0
2012-01-24,1311.25,1311.75,1301.5,,1468957.0,2649002.0
2012-01-23,1307.5,1318.25,1305.0,,1594961.0,2654751.0
2012-01-20,1310.0,1311.75,1304.75,,1416582.0,2659069.0
2012-01-19,1302.75,1311.5,1299.25,,1837168.0,2656811.0
2012-01-18,1289.0,1304.25,1286.5,,2003604.0,2645203.0
2012-01-17,1290.5,1302.5,1286.0,,1836820.0,2608231.0
2012-01-16,1285.25,1292.25,1281.25,,175626.0,2613916.0
2012-01-13,1292.0,1295.0,1272.75,,2114591.0,2613516.0
2012-01-12,1288.25,1297.5,1280.75,,1754245.0,2593643.0
2012-01-11,1286.0,1289.5,1279.25,,1800297.0,2597783.0
2012-01-10,1275.0,1292.0,1274.5,,1531383.0,2578611.0
2012-01-09,1274.75,1277.75,1267.25,,1437855.0,2579341.0
2012-01-06,1273.25,1282.25,1266.75,,1691681.0,2571183.0
2012-01-05,1273.25,1278.0,1259.75,,1815274.0,2580006.0
2012-01-04,1272.0,1274.75,1262.75,,1417634.0,2560482.0
2012-01-03,1274.75,1280.0,1270.25,,1563690.0,2658349.0
2011-12-30,1256.75,1260.5,1250.75,,691026.0,2609084.0
2011-12-29,1244.0,1258.5,1243.75,,874817.0,2598919.0
2011-12-28,1260.0,1264.5,1243.0,,1012280.0,2598919.0
2011-12-27,1260.5,1264.0,1256.0,,507304.0,2594367.0
2011-12-23,1249.5,1260.75,1248.75,,693965.0,2587797.0
2011-12-22,1236.0,1251.0,1232.25,,1332518.0,2567911.0
2011-12-21,1236.0,1249.0,1223.0,,1986543.0,2554237.0
2011-12-20,1199.0,1237.25,1198.75,,1825749.0,2532031.0
2011-12-19,1212.0,1219.75,1195.5,,1683745.0,2511559.0
2011-12-16,1218.25,1229.25,1217.25,,75185.0,908509.0
2011-12-15,1212.75,1227.0,1204.5,,327313.0,1049324.0
2011-12-14,1226.0,1232.5,1209.0,,593669.0,1288413.0
2011-12-13,1235.0,1249.75,1218.5,,999447.0,1683342.0
2011-12-12,1256.0,1260.5,1226.0,,908398.0,2048005.0
